"pathway","readable","direction","n_methods","category"
"pwy-6317","PWY-6317: galactose degradation I (Leloir pathway)","C-section enriched",4,"Carbohydrate metabolism"
"pwy-6531","PWY-6531: mannitol cycle","Vaginal enriched",4,"Carbohydrate metabolism"
"pwy-6731","PWY-6731: starch degradation III","Vaginal enriched",4,"Carbohydrate metabolism"
"pwy-7323","PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","Vaginal enriched",4,"Carbohydrate metabolism"
"pwy-7328","PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","Vaginal enriched",4,"Carbohydrate metabolism"
"pwy-7456","PWY-7456: mannan degradation","Vaginal enriched",4,"Carbohydrate metabolism"
"colansyn-pwy","COLANSYN-PWY: colanic acid building blocks biosynthesis","Vaginal enriched",4,"Cell wall / envelope"
"lpssyn-pwy","LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis","Vaginal enriched",4,"Cell wall / envelope"
"pwy-5265","PWY-5265: peptidoglycan biosynthesis II (staphylococci)","C-section enriched",4,"Cell wall / envelope"
"pwy-6113","PWY-6113: superpathway of mycolate biosynthesis","Vaginal enriched",4,"Cell wall / envelope"
"pwyg-321","PWYG-321: mycolate biosynthesis","Vaginal enriched",4,"Cell wall / envelope"
"golpdlcat-pwy","GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol","C-section enriched",4,"Central / fermentation"
"methglyut-pwy","METHGLYUT-PWY: superpathway of methylglyoxal degradation","Vaginal enriched",4,"Central / fermentation"
"p125-pwy","P125-PWY: superpathway of (R,R)-butanediol biosynthesis","C-section enriched",4,"Central / fermentation"
"p42-pwy","P42-PWY: incomplete reductive TCA cycle","C-section enriched",4,"Central / fermentation"
"pwy-5173","PWY-5173: superpathway of acetyl-CoA biosynthesis","C-section enriched",4,"Central / fermentation"
"pwy-5747","PWY-5747: 2-methylcitrate cycle II","Vaginal enriched",4,"Central / fermentation"
"pwy-6588","PWY-6588: pyruvate fermentation to acetone","Vaginal enriched",4,"Central / fermentation"
"pwy-7013","PWY-7013: L-1,2-propanediol degradation","C-section enriched",4,"Central / fermentation"
"pwy0-42","PWY0-42: 2-methylcitrate cycle I","Vaginal enriched",4,"Central / fermentation"
"coa-pwy","COA-PWY: coenzyme A biosynthesis I","C-section enriched",4,"Cofactor / vitamin / ETC"
"codh-pwy","CODH-PWY: reductive acetyl coenzyme A pathway","C-section enriched",4,"Cofactor / vitamin / ETC"
"heme-biosynthesis-ii","HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)","C-section enriched",4,"Cofactor / vitamin / ETC"
"pwy-4242","PWY-4242: pantothenate and coenzyme A biosynthesis III","C-section enriched",4,"Cofactor / vitamin / ETC"
"pwy-5005","PWY-5005: biotin biosynthesis II","C-section enriched",4,"Cofactor / vitamin / ETC"
"pwy-5838","PWY-5838: superpathway of menaquinol-8 biosynthesis I","Vaginal enriched",4,"Cofactor / vitamin / ETC"
"pwy-5861","PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis","Vaginal enriched",4,"Cofactor / vitamin / ETC"
"pwy-6700","PWY-6700: queuosine biosynthesis","C-section enriched",4,"Cofactor / vitamin / ETC"
"pwy-7204","PWY-7204: pyridoxal 5'-phosphate salvage II (plants)","Vaginal enriched",4,"Cofactor / vitamin / ETC"
"pwy0-845","PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage","Vaginal enriched",4,"Cofactor / vitamin / ETC"
"pyridnucsal-pwy","PYRIDNUCSAL-PWY: NAD salvage pathway I","Vaginal enriched",4,"Cofactor / vitamin / ETC"
"pyridoxsyn-pwy","PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I","Vaginal enriched",4,"Cofactor / vitamin / ETC"
"pwy-5121","PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","Vaginal enriched",4,"Lipid / isoprenoid metabolism"
"pwy-5138","PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation","C-section enriched",4,"Lipid / isoprenoid metabolism"
"pwy-5910","PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","C-section enriched",4,"Lipid / isoprenoid metabolism"
"pwy-5994","PWY-5994: palmitate biosynthesis I (animals and fungi)","Vaginal enriched",4,"Lipid / isoprenoid metabolism"
"pwy-6270","PWY-6270: isoprene biosynthesis I","Vaginal enriched",4,"Lipid / isoprenoid metabolism"
"pwy-6859","PWY-6859: all-trans-farnesol biosynthesis","C-section enriched",4,"Lipid / isoprenoid metabolism"
"pwy-7391","PWY-7391: isoprene biosynthesis II (engineered)","C-section enriched",4,"Lipid / isoprenoid metabolism"
"pwy-7392","PWY-7392: taxadiene biosynthesis (engineered)","Vaginal enriched",4,"Lipid / isoprenoid metabolism"
"pwy-922","PWY-922: mevalonate pathway I","C-section enriched",4,"Lipid / isoprenoid metabolism"
"pwy0-881","PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)","Vaginal enriched",4,"Lipid / isoprenoid metabolism"
"pwy3o-355","PWY3O-355: stearate biosynthesis III (fungi)","Vaginal enriched",4,"Lipid / isoprenoid metabolism"
"pwy66-367","PWY66-367: ketogenesis","C-section enriched",4,"Lipid / isoprenoid metabolism"
"denovopurine2-pwy","DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II","C-section enriched",4,"Nucleotide metabolism"
"p164-pwy","P164-PWY: purine nucleobases degradation I (anaerobic)","C-section enriched",4,"Nucleotide metabolism"
"pwy-5695","PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation","C-section enriched",4,"Nucleotide metabolism"
"pwy-6123","PWY-6123: inosine-5'-phosphate biosynthesis I","C-section enriched",4,"Nucleotide metabolism"
"pwy-6124","PWY-6124: inosine-5'-phosphate biosynthesis II","C-section enriched",4,"Nucleotide metabolism"
"pwy-6125","PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II","C-section enriched",4,"Nucleotide metabolism"
"pwy-6126","PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II","C-section enriched",4,"Nucleotide metabolism"
"pwy-6353","PWY-6353: purine nucleotides degradation II (aerobic)","Vaginal enriched",4,"Nucleotide metabolism"
"pwy-6545","PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III","C-section enriched",4,"Nucleotide metabolism"
"pwy-6595","PWY-6595: superpathway of guanosine nucleotides degradation (plants)","C-section enriched",4,"Nucleotide metabolism"
"pwy-7184","PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I","C-section enriched",4,"Nucleotide metabolism"
"pwy-7197","PWY-7197: pyrimidine deoxyribonucleotide phosphorylation","C-section enriched",4,"Nucleotide metabolism"
"pwy-7199","PWY-7199: pyrimidine deoxyribonucleosides salvage","C-section enriched",4,"Nucleotide metabolism"
"pwy-7200","PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage","C-section enriched",4,"Nucleotide metabolism"
"pwy-7208","PWY-7208: superpathway of pyrimidine nucleobases salvage","C-section enriched",4,"Nucleotide metabolism"
"pwy-7209","PWY-7209: superpathway of pyrimidine ribonucleosides degradation","Vaginal enriched",4,"Nucleotide metabolism"
"pwy-7210","PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP","C-section enriched",4,"Nucleotide metabolism"
"pwy-7211","PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","C-section enriched",4,"Nucleotide metabolism"
"pwy-7228","PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I","C-section enriched",4,"Nucleotide metabolism"
"pwy-7234","PWY-7234: inosine-5'-phosphate biosynthesis III","C-section enriched",4,"Nucleotide metabolism"
